cohort_month,entry_segment,activation_episodes,avg_entropy,median_entropy,avg_active_weeks,low_entropy_share,week_5_plus_return_share,week_8_return_share,median_push_events,entry_single_to_multi_share
2025-08-01,entry_multi,235225,0.13780214041416056,-0.0,1.8318673610373042,0.7676012328621532,0.1518801147837177,0.07169731108513126,8,
2025-08-01,entry_single,4486904,0.07667844165073716,-0.0,1.367724381890051,0.8399834273253897,0.0827947288375236,0.024260158006500696,2,0.011940750236688818
2025-09-01,entry_multi,241717,0.1531511795975148,-0.0,1.9118845592159428,0.7371388855562496,0.1804134587141161,0.09631511230074839,8,
2025-09-01,entry_single,4590334,0.0759975673331709,-0.0,1.3616007026939652,0.8407521108485788,0.08849443199558028,0.0332108731085799,2,0.013921644917341526
2025-10-01,entry_multi,229275,0.17958360197309964,-0.0,2.0715734380111224,0.697284919856068,0.20968705702758697,0.09452840475411624,8,
2025-10-01,entry_single,3924284,0.09073904179415845,-0.0,1.4445659386527563,0.8151723983279497,0.10742927881876031,0.03705797032019089,2,0.01996924789337367
2025-11-01,entry_multi,284136,0.16407832167844671,-0.0,1.9271370048145953,0.7040501731565166,0.15720992764028494,0.06620069262606638,8,
2025-11-01,entry_single,4750009,0.08055859232842234,-0.0,1.3824106438535175,0.8298479013408185,0.0866928883713694,0.02801089429514765,2,0.01691470479319092
2025-12-01,entry_multi,233697,0.15402952466686165,-0.0,1.9172389889472268,0.7325126124853978,0.17472196904538784,0.08431430441982567,8,
2025-12-01,entry_single,4503061,0.08321836794393063,-0.0,1.401776702558547,0.8260740860494672,0.09608841630171121,0.032258723566036526,2,0.014110845933466147
2026-01-01,entry_multi,230684,0.17966045579573317,-0.0,2.0913934213036023,0.6998448093495865,0.2050640703299752,0.10553397721558495,8,
2026-01-01,entry_single,4650200,0.09080025106850015,-0.0,1.4442357317964816,0.8136850027955786,0.1042494946453916,0.036398649520450736,2,0.015465571373274268
2026-02-01,entry_multi,239606,0.20257367413552357,-0.0,2.247840204335451,0.6666151932756275,0.2354782434496632,0.12393262272230245,8,
2026-02-01,entry_single,4866813,0.09240348473643312,-0.0,1.4523134544105152,0.8102941288272223,0.10573449195602955,0.03665376089034035,2,0.017443037157992305
2026-03-01,entry_multi,308404,0.2110182425824365,-0.0,2.2910208687306253,0.6498521419955643,0.2436317298089519,0.12491407374742221,8,
2026-03-01,entry_single,6077208,0.09298615198362198,-0.0,1.4557347716253914,0.8083698961760072,0.10635229203937072,0.03624328803621663,2,0.0184479451748237
2026-04-01,entry_multi,294969,0.20268319414462233,-0.0,2.2264475249941524,0.6611847346670328,0.22261322376249706,0.1154121280541345,7,
2026-04-01,entry_single,5642364,0.09165712579174275,-0.0,1.4482252474317505,0.8104762471900075,0.10297882235176603,0.03530116100272864,2,0.01811297534154124
